,factors,regularization,iterations,rank_score,pop_score
116,12,1000,15,0.399194533,0.080133403
117,12,1000,45,0.399303364,0.080133403
118,12,1000,75,0.399384692,0.080133403
119,12,1000,300,0.399514604,0.080133403
336,200,0.01,15,0.399606107,0.080133403
339,200,0.01,300,0.399641444,0.080133403
391,260,0.1,300,0.405001526,0.080133403
20,4,1000,15,0.405686324,0.080133403
390,260,0.1,75,0.406505493,0.080133403
22,4,1000,75,0.406519119,0.080133403
21,4,1000,45,0.408026057,0.080133403
384,260,0.01,15,0.40805273,0.080133403
439,320,0.1,300,0.40940069,0.080133403
388,260,0.1,15,0.410018366,0.080133403
23,4,1000,300,0.410067278,0.080133403
548,440,1000,15,0.410098409,0.080133403
551,440,1000,300,0.410105083,0.080133403
549,440,1000,45,0.410109541,0.080133403
550,440,1000,75,0.410670774,0.080133403
389,260,0.1,45,0.410752731,0.080133403
387,260,0.01,300,0.411277091,0.080133403
438,320,0.1,75,0.412177788,0.080133403
385,260,0.01,45,0.414837819,0.080133403
386,260,0.01,75,0.415080189,0.080133403
437,320,0.1,45,0.415355302,0.080133403
553,440,10000,45,0.415763526,0.080133403
554,440,10000,75,0.415920565,0.080133403
555,440,10000,300,0.415922831,0.080133403
552,440,10000,15,0.416055615,0.080133403
487,380,0.1,300,0.417953273,0.080133403
435,320,0.01,300,0.418557625,0.080133403
434,320,0.01,75,0.419384047,0.080133403
432,320,0.01,15,0.421514328,0.080133403
436,320,0.1,15,0.422031686,0.080133403
484,380,0.1,15,0.422529473,0.080133403
433,320,0.01,45,0.422766983,0.080133403
535,440,0.1,300,0.42314793,0.080133403
534,440,0.1,75,0.423181302,0.080133403
486,380,0.1,75,0.423677377,0.080133403
485,380,0.1,45,0.423693018,0.080133403
533,440,0.1,45,0.42533609,0.080133403
506,380,10000,75,0.42601716,0.080133403
505,380,10000,45,0.426156114,0.080133403
504,380,10000,15,0.426166693,0.080133403
507,380,10000,300,0.426602345,0.080133403
483,380,0.01,300,0.429797842,0.080133403
480,380,0.01,15,0.430096203,0.080133403
482,380,0.01,75,0.432088612,0.080133403
481,380,0.01,45,0.432184296,0.080133403
530,440,0.01,75,0.43504388,0.080133403
529,440,0.01,45,0.435274362,0.080133403
531,440,0.01,300,0.435616044,0.080133403
532,440,0.1,15,0.437465394,0.080133403
456,320,10000,15,0.437601653,0.080133403
458,320,10000,75,0.437878328,0.080133403
459,320,10000,300,0.43788407,0.080133403
457,320,10000,45,0.437886513,0.080133403
528,440,0.01,15,0.440917416,0.080133403
409,260,10000,45,0.451458756,0.080133403
408,260,10000,15,0.451747269,0.080133403
410,260,10000,75,0.452038803,0.080133403
411,260,10000,300,0.452326107,0.080133403
315,140,10000,300,0.463530635,0.080133403
313,140,10000,45,0.46359607,0.080133403
362,200,10000,75,0.469743334,0.080133403
360,200,10000,15,0.469748321,0.080133403
361,200,10000,45,0.470284921,0.080133403
363,200,10000,300,0.470446719,0.080133403
312,140,10000,15,0.477504126,0.080133403
314,140,10000,75,0.477638949,0.080133403
264,80,10000,15,0.502294951,0.080133403
265,80,10000,45,0.502298452,0.080133403
266,80,10000,75,0.503010023,0.080133403
267,80,10000,300,0.503021962,0.080133403
219,20,10000,300,0.576121961,0.080133403
216,20,10000,15,0.576126394,0.080133403
217,20,10000,45,0.576526483,0.080133403
218,20,10000,75,0.576696744,0.080133403
171,16,10000,300,0.583873233,0.080133403
170,16,10000,75,0.584155852,0.080133403
168,16,10000,15,0.584322461,0.080133403
169,16,10000,45,0.584433962,0.080133403
123,12,10000,300,0.588861335,0.080133403
122,12,10000,75,0.589248881,0.080133403
120,12,10000,15,0.589381967,0.080133403
121,12,10000,45,0.590068024,0.080133403
75,8,10000,300,0.60054529,0.080133403
74,8,10000,75,0.601182611,0.080133403
73,8,10000,45,0.601251496,0.080133403
72,8,10000,15,0.601274315,0.080133403
27,4,10000,300,0.609702325,0.080133403
24,4,10000,15,0.610273758,0.080133403
26,4,10000,75,0.610510487,0.080133403
25,4,10000,45,0.610852319,0.080133403
